508,Hải Bối,Xã,17
511,Xuân Canh,Xã,17
514,Võng La,Xã,17
517,Tầm Xá,Xã,17
520,Mai Lâm,Xã,17
523,Đông Hội,Xã,17
529,Yên Thường,Xã,18
532,Yên Viên,Xã,18
535,Ninh Hiệp,Xã,18
538,Đình Xuyên,Xã,18
541,Dương Hà,Xã,18
544,Phù Đổng,Xã,18
547,Trung Mầu,Xã,18
550,Lệ Chi,Xã,18
553,Cổ Bi,Xã,18
556,Đặng Xá,Xã,18
559,Phú Thị,Xã,18
562,Kim Sơn,Xã,18
568,Dương Quang,Xã,18
571,Dương Xá,Xã,18
574,Đông Dư,Xã,18
577,Đa Tốn,Xã,18
580,Kiêu Kỵ,Xã,18
583,Bát Tràng,Xã,18
586,Kim Lan,Xã,18
589,Văn Đức,Xã,18
592,Cầu Diễn,Phường,19
622,Xuân Phương,Phường,19
623,Phương Canh,Phường,19
625,Mỹ Đình 1,Phường,19
626,Mỹ Đình 2,Phường,19
628,Tây Mỗ,Phường,19
631,Mễ Trì,Phường,19
632,Phú Đô,Phường,19
634,Đại Mỗ,Phường,19
637,Trung Văn,Phường,19
643,Tân Triều,Xã,20
646,Thanh Liệt,Xã,20
649,Tả Thanh Oai,Xã,20
652,Hữu Hoà,Xã,20
655,Tam Hiệp,Xã,20
658,Tứ Hiệp,Xã,20
661,Yên Mỹ,Xã,20
664,Vĩnh Quỳnh,Xã,20
667,Ngũ Hiệp,Xã,20
670,Duyên Hà,Xã,20
673,Ngọc Hồi,Xã,20
676,Vạn Phúc,Xã,20
679,Đại áng,Xã,20
682,Liên Ninh,Xã,20
685,Đông Mỹ,Xã,20
595,Thượng Cát,Phường,21
598,Liên Mạc,Phường,21
601,Đông Ngạc,Phường,21
602,Đức Thắng,Phường,21
604,Thụy Phương,Phường,21
607,Tây Tựu,Phường,21
610,Xuân Đỉnh,Phường,21
611,Xuân Tảo,Phường,21
613,Minh Khai,Phường,21
616,Cổ Nhuế 1,Phường,21
617,Cổ Nhuế 2,Phường,21
619,Phú Diễn,Phường,21
620,Phúc Diễn,Phường,21
8974,Đại Thịnh,Xã,250
8977,Kim Hoa,Xã,250
8980,Thạch Đà,Xã,250
8983,Tiến Thắng,Xã,250
8986,Tự Lập,Xã,250
8992,Thanh Lâm,Xã,250
8995,Tam Đồng,Xã,250
8998,Liên Mạc,Xã,250
9001,Vạn Yên,Xã,250
